com.samsung.health.sleep_stage,6196009,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-18 01:14:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.536,2021-11-18 08:46:01.536,40003,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 01:29:00.000,6585ded4-cd3e-42d6-86b0-4f3f80991716,
2021-11-22 09:12:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.637,2021-11-22 09:46:56.637,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 09:23:00.000,0098ea1e-76b1-43a0-9cf4-4c843c004a6a,
2021-11-18 02:00:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.539,2021-11-18 08:46:01.539,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 02:01:00.000,e278e4b9-e863-4a99-aee1-a9367ce3b0bd,
2021-11-22 23:21:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.698,2021-11-23 08:09:38.698,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 23:23:00.000,31b46512-e586-4720-83e5-9a2a94c099c1,
2021-11-18 02:59:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.542,2021-11-18 08:46:01.542,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:00:00.000,894f6e02-c500-4f6f-9af8-d21b49e8f488,
2021-11-22 23:40:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.698,2021-11-23 08:09:38.698,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 23:58:00.000,ca6f8a81-2b37-4f07-abd6-fedc9d31212c,
2021-11-18 03:36:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.544,2021-11-18 08:46:01.544,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:52:00.000,310821de-602b-4fdb-ad4c-14ef0cb5bc8f,
2021-11-23 01:01:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.699,2021-11-23 08:09:38.699,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 01:03:00.000,6ff3d970-1ce9-487f-90a1-23966728f440,
2021-11-18 03:59:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.546,2021-11-18 08:46:01.546,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 04:02:00.000,3634e25c-f55e-4e7f-a10e-9e63863f4c4b,
2021-11-23 01:26:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.699,2021-11-23 08:09:38.699,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 01:30:00.000,adcf2498-aefa-401e-8e9a-17d015509658,
2021-11-18 05:03:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.550,2021-11-18 08:46:01.550,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 05:04:00.000,525fbf73-ac11-42c1-ab98-dde975214507,
2021-11-23 02:28:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.700,2021-11-23 08:09:38.700,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 02:31:00.000,756864e5-7c39-4563-a222-efa29ad06cc7,
2021-11-18 05:40:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.553,2021-11-18 08:46:01.553,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 05:46:00.000,4ef13b9a-58fb-4350-aa23-1cb6066bd05e,
2021-11-23 04:09:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.700,2021-11-23 08:09:38.700,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 04:32:00.000,9a75044a-2f9c-4e30-9ba9-b8e2f850d01d,
2021-11-18 06:22:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.557,2021-11-18 08:46:01.557,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 06:23:00.000,b598fd8b-8d33-4295-9c32-d79f61ee8d06,
2021-11-23 04:43:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.700,2021-11-23 08:09:38.700,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 05:36:00.000,7b69ed5f-03ff-4087-91e9-1ec5cd02b234,
2021-11-18 07:06:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.560,2021-11-18 08:46:01.560,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 07:24:00.000,2016cbea-122e-43d8-98c6-075949453b2b,
2021-11-23 06:46:00.000,bde39e77-e18f-46bf-b2ef-4e8f477a3ca9,,2021-11-23 08:09:38.701,2021-11-23 08:09:38.701,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-23 06:51:00.000,e87c1e57-e94a-47a5-95ee-e134f4d6259f,
2021-11-18 07:56:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.563,2021-11-18 08:46:01.563,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 07:57:00.000,b9eb8053-03ab-4983-83f9-816d7e44bf0b,
2021-11-16 02:08:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.823,2021-11-16 09:05:42.823,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:09:00.000,26b90395-165a-43bf-8d77-3fe248c8319c,
2021-11-16 02:55:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.824,2021-11-16 09:05:42.824,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:57:00.000,f7376bd2-2e1a-4c55-9a86-0ae5397b6c99,
2021-11-16 03:57:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.826,2021-11-16 09:05:42.826,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:05:00.000,711a3435-d9ff-4604-9343-407cefe04020,
2021-11-16 04:40:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.828,2021-11-16 09:05:42.828,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:41:00.000,e66c5eae-da0c-48c8-ae2f-6c5ac5fc8b86,
2021-11-16 04:57:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.831,2021-11-16 09:05:42.831,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:59:00.000,426d5684-337f-4590-bbf4-cd954342b885,
2021-11-16 06:46:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.834,2021-11-16 09:05:42.834,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 06:58:00.000,b495689a-0ca5-4b0b-a030-61c67e2970e8,
2021-11-16 08:02:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.838,2021-11-16 09:05:42.838,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 08:03:00.000,b22df2a6-4f7e-4d2d-87f5-9dd1038d96fa,
2021-11-16 08:22:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.849,2021-11-16 09:05:42.849,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 08:23:00.000,c0e54cc7-7969-47e1-a12d-2c97b3ed64a3,
2021-11-18 08:20:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.565,2021-11-18 08:46:01.565,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 08:21:00.000,2dcd5a0f-0412-43d1-94b4-5f8986e624a5,
2021-11-17 23:58:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.530,2021-11-18 08:46:01.530,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 00:12:00.000,b2bada6c-6536-4a33-9797-8bf354ae9835,
2021-11-18 00:29:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.534,2021-11-18 08:46:01.534,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 00:37:00.000,baa7fe5c-e809-4e28-b17c-9d14dba57697,
2021-11-18 08:41:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.568,2021-11-18 08:46:01.568,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 08:43:00.000,7a5c5f85-1f08-4e71-8375-7fb4248b768b,
2021-11-22 01:58:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.631,2021-11-22 09:46:56.631,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 02:01:00.000,53709926-267f-48cc-955b-03504064d75a,
2021-11-18 01:44:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.537,2021-11-18 08:46:01.537,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 01:45:00.000,364d22fa-3435-4ca7-b16d-cf77956df7c0,
2021-11-18 02:03:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.540,2021-11-18 08:46:01.540,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 02:04:00.000,59b02e3d-4445-437f-8cfb-43c8e7669936,
2021-11-22 02:38:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.632,2021-11-22 09:46:56.632,40003,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 02:40:00.000,226043ef-7ce5-41cd-a65b-7a01212fde13,
2021-11-18 03:06:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.542,2021-11-18 08:46:01.542,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:08:00.000,e2b83030-9c21-4734-87e8-d2a9ff057ddd,
2021-11-22 03:14:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.633,2021-11-22 09:46:56.633,40003,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 03:20:00.000,a197d427-6eac-4a16-9405-4f0f0712f486,
2021-11-18 03:55:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.545,2021-11-18 08:46:01.545,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:56:00.000,46f82abe-dca5-400d-a57e-f2e77f15700a,
2021-11-22 04:20:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.633,2021-11-22 09:46:56.633,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 04:21:00.000,1cbe6dc7-c485-4385-ad8c-484769820660,
2021-11-18 04:04:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.547,2021-11-18 08:46:01.547,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 04:08:00.000,1c23b57a-ba8f-460f-9b5f-6b8e2a1de4a9,
2021-11-22 06:33:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.634,2021-11-22 09:46:56.634,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 06:34:00.000,9e438df2-9112-4af8-a247-b091b88578cb,
2021-11-18 05:05:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.551,2021-11-18 08:46:01.551,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 05:36:00.000,fc09385e-a370-460d-87fd-a4fd80f37742,
2021-11-22 07:34:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.635,2021-11-22 09:46:56.635,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 07:39:00.000,3ed3a6ce-b579-4f50-93dc-9c6329c83219,
2021-11-18 06:04:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.554,2021-11-18 08:46:01.554,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 06:11:00.000,4cb6f7f2-e58d-4d54-865c-88cafba38be0,
2021-11-22 07:48:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.635,2021-11-22 09:46:56.635,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 07:50:00.000,bd64a741-4153-4095-9d17-775a583d063a,
2021-11-22 08:08:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.636,2021-11-22 09:46:56.636,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 08:25:00.000,3b875ab5-2bb5-487e-b7d4-27477043f395,
